year,region,round,t1Name,t1Rank,t1Score,t1Win,t2Name,t2Rank,t2Score,t2Win
2010,"West Regional – Salt Lake City, Utah",round1,BYU,7,99**,True,Florida,10,92,False
2010,"West Regional – Salt Lake City, Utah",round2,BYU,7,72,False,Kansas State,2,84,True
2010,"West Regional – Salt Lake City, Utah",round1,Kansas State,2,82,True,North Texas,15,62,False
2010,"East Regional – Syracuse, New York",round1,Kentucky,1,100,True,East Tennessee State,16,71,False
2010,"East Regional – Syracuse, New York",round2,Kentucky,1,90,True,Wake Forest,9,60,False
2010,"East Regional – Syracuse, New York",round1,Texas,8,80,False,Wake Forest,9,81*,True
2010,"East Regional – Syracuse, New York",round3,Kentucky,1,62,True,Cornell,12,45,False
2010,"East Regional – Syracuse, New York",round1,Temple,5,65,False,Cornell,12,78,True
2010,"East Regional – Syracuse, New York",round2,Cornell,12,87,True,Wisconsin,4,69,False
2010,"East Regional – Syracuse, New York",round1,Wisconsin,4,53,True,Wofford,13,49,False
2010,"East Regional – Syracuse, New York",round4,Kentucky,1,66,False,West Virginia,2,73,True
2010,"East Regional – Syracuse, New York",round1,Marquette,6,78,False,Washington,11,80,True
2010,"East Regional – Syracuse, New York",round2,Washington,11,82,True,New Mexico,3,64,False
2010,"East Regional – Syracuse, New York",round1,New Mexico,3,62,True,Montana,14,57,False
2010,"East Regional – Syracuse, New York",round3,Washington,11,56,False,West Virginia,2,69,True
2010,"East Regional – Syracuse, New York",round1,Clemson,7,78,False,Missouri,10,86,True
2010,"East Regional – Syracuse, New York",round2,Missouri,10,59,False,West Virginia,2,68,True
2010,"East Regional – Syracuse, New York",round1,West Virginia,2,77,True,Morgan State,15,50,False
2010,"South Regional – Houston, Texas",round1,Duke,1,73,True,Arkansas-Pine Bluff,16,44,False
2010,"South Regional – Houston, Texas",round2,Duke,1,68,True,California,8,53,False
2010,"South Regional – Houston, Texas",round1,California,8,77,True,Louisville,9,62,False
2010,"South Regional – Houston, Texas",round3,Duke,1,70,True,Purdue,4,57,False
2010,"South Regional – Houston, Texas",round1,Texas A&M,5,69,True,Utah State,12,53,False
2010,"South Regional – Houston, Texas",round2,Texas A&M,5,61,False,Purdue,4,63*,True
2010,"South Regional – Houston, Texas",round1,Purdue,4,72,True,Siena,13,64,False
2010,"South Regional – Houston, Texas",round4,Duke,1,78,True,Baylor,3,71,False
2010,"South Regional – Houston, Texas",round1,Notre Dame,6,50,False,Old Dominion,11,51,True
2010,"South Regional – Houston, Texas",round2,Old Dominion,11,68,False,Baylor,3,76,True
2010,"South Regional – Houston, Texas",round1,Baylor,3,68,True,Sam Houston State,14,59,False
2010,"South Regional – Houston, Texas",round3,Baylor,3,72,True,Saint Mary's,10,49,False
2010,"South Regional – Houston, Texas",round1,Richmond,7,71,False,Saint Mary's,10,80,True
2010,"South Regional – Houston, Texas",round2,Saint Mary's,10,75,True,Villanova,2,68,False
2010,"South Regional – Houston, Texas",round1,Villanova,2,73*,True,Robert Morris,15,70,False
2010,"Final Four - Lucas Oil Stadium, Indianapolis, Indiana",round5,Michigan State,M5,50,False,Butler,W5,52,True
2010,"Final Four - Lucas Oil Stadium, Indianapolis, Indiana",round6,Butler,W5,59,False,Duke,S1,61,True
